timestamp_utc,allsky_sfc_sw_dwn,allsky_sfc_sw_dni,t2m_benban,clrsky_sfc_sw_dwn,ws10m,ws50m,wd50m,t2m_suez,hour_of_day,month,day_of_year,ws100m
2025-01-01 00:00:00,0.0,0.0,9.43,0.0,5.9,7.7,359.7,15.7,0,1,1,8.484669392249902
2025-01-01 01:00:00,0.0,0.0,8.98,0.0,6.27,8.22,1.1,15.51,1,1,1,9.05766005250574
2025-01-01 02:00:00,0.0,0.0,8.43,0.0,6.53,8.58,1.2,15.32,2,1,1,9.45434589422132
2025-01-01 03:00:00,0.0,0.0,7.8,0.0,6.62,8.71,3.8,15.08,3,1,1,9.59759355928528
2025-01-01 04:00:00,0.0,0.0,7.29,0.0,6.54,8.59,7.2,14.82,4,1,1,9.465364945380086
2025-01-01 05:00:00,0.0,0.0,6.95,0.0,6.26,8.21,8.8,14.57,5,1,1,9.046641001346975
2025-01-01 06:00:00,5.62,2.45,6.87,5.62,5.94,7.73,10.6,14.38,6,1,1,8.517726545726202
2025-01-01 07:00:00,134.6,342.24,8.07,135.57,5.61,7.04,12.8,15.34,7,1,1,7.757412015771339
2025-01-01 08:00:00,346.42,640.07,10.66,348.05,5.7,6.28,14.5,16.5,8,1,1,6.919964127705115
2025-01-01 09:00:00,531.92,787.08,14.83,533.25,5.32,5.73,8.8,17.33,9,1,1,6.31391631397298
2025-01-01 10:00:00,658.75,837.21,17.24,664.75,5.18,5.56,0.7,18.16,10,1,1,6.126592444273955
2025-01-01 11:00:00,710.7,753.03,18.73,717.3,5.24,5.59,353.2,18.91,11,1,1,6.159649597750254
2025-01-01 12:00:00,706.58,756.61,19.79,710.4,5.81,6.2,342.4,19.54,12,1,1,6.831811718434986
2025-01-01 13:00:00,624.08,717.04,20.45,631.95,6.5,7.01,338.6,20.0,13,1,1,7.724354862295041
2025-01-01 14:00:00,480.75,649.18,20.58,487.45,6.97,7.63,338.5,20.25,14,1,1,8.40753603413854
2025-01-01 15:00:00,290.77,512.81,20.07,294.45,7.28,8.13,339.2,20.26,15,1,1,8.958488592076845
2025-01-01 16:00:00,89.57,164.46,17.3,90.12,7.09,8.71,340.2,19.55,16,1,1,9.59759355928528
2025-01-01 17:00:00,0.0,0.0,13.9,0.0,7.27,9.43,343.1,18.38,17,1,1,10.390965242716439
2025-01-01 18:00:00,0.0,0.0,13.15,0.0,7.56,9.72,351.9,17.86,18,1,1,10.710517726320656
2025-01-01 19:00:00,0.0,0.0,12.63,0.0,7.43,9.6,5.6,17.26,19,1,1,10.578289112415462
2025-01-01 20:00:00,0.0,0.0,12.03,0.0,7.2,9.43,23.0,16.72,20,1,1,10.390965242716439
2025-01-01 21:00:00,0.0,0.0,11.25,0.0,6.64,8.69,31.8,16.15,21,1,1,9.575555456967747
2025-01-01 22:00:00,0.0,0.0,10.24,0.0,5.96,7.62,34.6,15.53,22,1,1,8.396516982979774
2025-01-01 23:00:00,0.0,0.0,9.27,0.0,5.29,6.59,37.4,15.02,23,1,1,7.2615547136268646
2025-01-02 00:00:00,0.0,0.0,8.51,0.0,4.59,5.58,40.5,14.69,0,1,2,6.1486305465914874
2025-01-02 01:00:00,0.0,0.0,7.86,0.0,3.92,4.65,45.9,14.61,1,1,2,5.12385878882624
2025-01-02 02:00:00,0.0,0.0,7.34,0.0,3.18,3.68,49.9,14.71,2,1,2,4.055010826425927
2025-01-02 03:00:00,0.0,0.0,6.98,0.0,2.43,2.76,54.8,14.92,3,1,2,3.041258119819445
2025-01-02 04:00:00,0.0,0.0,6.75,0.0,1.72,1.93,69.7,15.1,4,1,2,2.1266768736418586
2025-01-02 05:00:00,0.0,0.0,6.66,0.0,0.87,0.93,75.7,15.2,5,1,2,1.024771757765248
2025-01-02 06:00:00,5.93,19.06,6.57,6.0,0.21,0.15,11.3,15.13,6,1,2,0.1652857673814916
2025-01-02 07:00:00,140.85,461.26,8.76,143.1,0.52,0.7,262.6,15.5,7,1,2,0.7713335811136274
2025-01-02 08:00:00,351.85,723.78,11.4,355.0,1.25,1.37,264.5,16.76,8,1,2,1.5096100087509567
2025-01-02 09:00:00,534.97,827.46,15.32,537.97,2.02,2.12,261.0,17.46,9,1,2,2.3360388456584147
2025-01-02 10:00:00,665.5,908.18,19.21,668.05,2.49,2.56,268.4,18.2,10,1,2,2.8208770966441232
2025-01-02 11:00:00,714.85,824.01,21.06,717.05,2.31,2.36,280.7,18.89,11,1,2,2.600496073468801
2025-01-02 12:00:00,708.47,823.52,22.44,710.35,1.97,2.01,292.2,19.46,12,1,2,2.214829282911987
2025-01-02 13:00:00,630.9,782.61,23.3,631.72,1.93,1.96,307.3,19.9,13,1,2,2.159734027118157
2025-01-02 14:00:00,488.08,707.98,23.56,489.02,2.22,2.27,322.3,20.09,14,1,2,2.5013246130399063
2025-01-02 15:00:00,296.5,563.98,23.08,297.35,2.69,2.82,333.3,19.9,15,1,2,3.107372426772042
2025-01-02 16:00:00,94.97,232.88,19.45,95.3,2.84,3.45,340.2,18.74,16,1,2,3.801572649774307
2025-01-02 17:00:00,0.0,0.0,16.07,0.0,3.28,3.93,339.8,17.64,17,1,2,4.33048710539508
2025-01-02 18:00:00,0.0,0.0,15.0,0.0,3.52,4.19,333.4,17.5,18,1,2,4.616982435522999
2025-01-02 19:00:00,0.0,0.0,14.2,0.0,3.51,4.16,329.1,17.46,19,1,2,4.5839252820467005
2025-01-02 20:00:00,0.0,0.0,13.36,0.0,3.15,3.73,329.7,17.42,20,1,2,4.110106082219758
2025-01-02 21:00:00,0.0,0.0,12.33,0.0,2.61,3.07,330.3,17.32,21,1,2,3.3828487057411945
2025-01-02 22:00:00,0.0,0.0,11.21,0.0,2.04,2.41,327.7,17.18,22,1,2,2.6555913292626316
2025-01-02 23:00:00,0.0,0.0,10.21,0.0,1.61,1.91,315.8,17.07,23,1,2,2.104638771324326
2025-01-03 00:00:00,0.0,0.0,9.4,0.0,1.24,1.44,298.7,16.95,0,1,3,1.5867433668623192
2025-01-03 01:00:00,0.0,0.0,8.78,0.0,1.01,1.12,269.5,16.86,1,1,3,1.234133729781804
2025-01-03 02:00:00,0.0,0.0,8.24,0.0,1.03,1.13,244.8,16.71,2,1,3,1.24515278094057
2025-01-03 03:00:00,0.0,0.0,7.71,0.0,0.93,1.01,229.4,16.61,3,1,3,1.1129241670353769
2025-01-03 04:00:00,0.0,0.0,7.21,0.0,0.81,0.95,194.6,16.58,4,1,3,1.04680986008278
2025-01-03 05:00:00,0.0,0.0,6.78,0.0,0.85,1.04,170.6,16.69,5,1,3,1.1459813205116751
2025-01-03 06:00:00,5.62,9.92,6.51,5.68,0.73,0.91,163.4,16.79,6,1,3,1.0027336554477158
2025-01-03 07:00:00,134.75,381.88,9.18,138.9,0.54,0.67,171.4,17.17,7,1,3,0.7382764276373291
2025-01-03 08:00:00,339.3,649.88,11.79,350.65,0.5,0.58,194.0,17.85,8,1,3,0.6391049672084341
2025-01-03 09:00:00,516.95,772.24,15.55,535.38,0.56,0.7,192.4,18.71,9,1,3,0.7713335811136274
2025-01-03 10:00:00,643.12,836.93,19.05,667.97,0.35,0.26,272.2,19.53,10,1,3,0.2864953301279188
2025-01-03 11:00:00,696.38,767.29,21.46,726.6,1.32,1.24,325.2,20.08,11,1,3,1.3663623436869972
2025-01-03 12:00:00,687.05,784.14,23.18,721.42,2.05,2.04,331.3,20.35,12,1,3,2.247886436388286
2025-01-03 13:00:00,619.4,703.04,24.29,643.0,2.8,2.87,340.4,20.33,13,1,3,3.1624676825658726
2025-01-03 14:00:00,469.65,657.01,24.72,499.58,3.43,3.58,345.8,20.23,14,1,3,3.944820314838266
2025-01-03 15:00:00,289.15,487.68,24.24,306.15,3.98,4.27,345.8,19.9,15,1,3,4.705134844793127
2025-01-03 16:00:00,95.78,225.69,20.21,100.22,3.9,4.85,345.3,19.03,16,1,3,5.344239812001561
2025-01-03 17:00:00,0.0,0.0,17.11,0.0,4.32,5.51,343.8,18.33,17,1,3,6.071497188480125
2025-01-03 18:00:00,0.0,0.0,16.16,0.0,4.62,5.89,342.1,18.2,18,1,3,6.490221132513237
2025-01-03 19:00:00,0.0,0.0,15.4,0.0,4.49,5.66,338.6,17.97,19,1,3,6.236782955861616
2025-01-03 20:00:00,0.0,0.0,14.4,0.0,4.18,5.17,332.8,17.59,20,1,3,5.696849449082077
2025-01-03 21:00:00,0.0,0.0,13.23,0.0,3.65,4.48,327.5,17.39,21,1,3,4.936534919127216
2025-01-03 22:00:00,0.0,0.0,12.21,0.0,3.06,3.76,316.9,17.35,22,1,3,4.143163235696056
2025-01-03 23:00:00,0.0,0.0,11.49,0.0,2.97,3.59,298.3,17.1,23,1,3,3.9558393659970323
2025-01-04 00:00:00,0.0,0.0,10.76,0.0,3.13,3.7,283.9,16.7,0,1,4,4.0770489287434595
2025-01-04 01:00:00,0.0,0.0,10.08,0.0,3.04,3.51,277.0,16.36,1,1,4,3.867686956726903
2025-01-04 02:00:00,0.0,0.0,9.61,0.0,2.65,2.99,273.1,16.3,2,1,4,3.294696296471066
2025-01-04 03:00:00,0.0,0.0,9.21,0.0,2.33,2.58,269.8,16.4,3,1,4,2.8429151989616557
2025-01-04 04:00:00,0.0,0.0,8.81,0.0,1.96,2.14,264.1,16.55,4,1,4,2.358076947975947
2025-01-04 05:00:00,0.0,0.0,8.51,0.0,1.89,2.08,256.1,16.5,5,1,4,2.2919626410233502
2025-01-04 06:00:00,5.47,7.27,8.31,5.47,1.81,2.0,250.1,16.47,6,1,4,2.2038102317532213
2025-01-04 07:00:00,136.02,383.94,9.84,136.55,1.59,1.78,246.5,16.7,7,1,4,1.961391106260367
2025-01-04 08:00:00,347.77,655.92,12.24,348.62,1.29,1.45,245.6,17.28,8,1,4,1.5977624180210854
2025-01-04 09:00:00,533.67,788.19,15.35,534.47,1.16,1.13,247.5,17.87,9,1,4,1.24515278094057
2025-01-04 10:00:00,666.4,848.24,18.21,667.03,0.73,0.77,235.1,18.54,10,1,4,0.8484669392249903
2025-01-04 11:00:00,732.17,880.09,20.94,732.62,0.43,0.55,209.4,19.23,11,1,4,0.6060478137321359
2025-01-04 12:00:00,727.2,873.86,23.15,727.53,0.67,0.82,170.9,19.91,12,1,4,0.9035621950188207
2025-01-04 13:00:00,648.88,827.78,24.82,649.47,1.15,1.33,153.6,20.49,13,1,4,1.4655338041158923
2025-01-04 14:00:00,503.48,745.09,25.74,504.33,1.71,2.03,145.2,20.92,14,1,4,2.2368673852295196
2025-01-04 15:00:00,310.23,604.83,25.39,311.1,1.98,2.63,136.8,20.98,15,1,4,2.898010454755486
2025-01-04 16:00:00,104.15,266.58,22.87,104.55,2.23,3.25,133.9,20.17,16,1,4,3.5811916265989847
2025-01-04 17:00:00,0.0,0.0,20.19,0.0,2.51,3.55,138.3,19.79,17,1,4,3.9117631613619674
2025-01-04 18:00:00,0.0,0.0,18.75,0.0,2.36,3.33,149.1,19.75,18,1,4,3.6693440358691136
2025-01-04 19:00:00,0.0,0.0,17.86,0.0,2.37,3.2,166.3,19.55,19,1,4,3.5260963708051545
2025-01-04 20:00:00,0.0,0.0,17.26,0.0,2.72,3.43,183.2,19.05,20,1,4,3.779534547456775
2025-01-04 21:00:00,0.0,0.0,16.92,0.0,3.1,3.81,195.2,18.56,21,1,4,4.198258491489887
2025-01-04 22:00:00,0.0,0.0,16.62,0.0,3.4,4.14,201.9,17.95,22,1,4,4.561887179729168
2025-01-04 23:00:00,0.0,0.0,16.2,0.0,3.55,4.31,201.8,17.49,23,1,4,4.749211049428191
2025-01-05 00:00:00,0.0,0.0,15.65,0.0,3.59,4.32,196.1,17.13,0,1,5,4.760230100586958
2025-01-05 01:00:00,0.0,0.0,14.99,0.0,3.7,4.44,189.5,16.91,1,1,5,4.892458714492152
2025-01-05 02:00:00,0.0,0.0,14.29,0.0,3.91,4.69,184.2,16.81,2,1,5,5.167934993461304
