timestamp_utc,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,T2M,CLRSKY_SFC_SW_DWN
2025-01-01 00:00:00,0.0,0.0,9.43,0.0
2025-01-01 01:00:00,0.0,0.0,8.98,0.0
2025-01-01 02:00:00,0.0,0.0,8.43,0.0
2025-01-01 03:00:00,0.0,0.0,7.8,0.0
2025-01-01 04:00:00,0.0,0.0,7.29,0.0
2025-01-01 05:00:00,0.0,0.0,6.95,0.0
2025-01-01 06:00:00,5.62,2.45,6.87,5.62
2025-01-01 07:00:00,134.6,342.24,8.07,135.57
2025-01-01 08:00:00,346.42,640.07,10.66,348.05
2025-01-01 09:00:00,531.92,787.08,14.83,533.25
2025-01-01 10:00:00,658.75,837.21,17.24,664.75
2025-01-01 11:00:00,710.7,753.03,18.73,717.3
2025-01-01 12:00:00,706.58,756.61,19.79,710.4
2025-01-01 13:00:00,624.08,717.04,20.45,631.95
2025-01-01 14:00:00,480.75,649.18,20.58,487.45
2025-01-01 15:00:00,290.77,512.81,20.07,294.45
2025-01-01 16:00:00,89.57,164.46,17.3,90.12
2025-01-01 17:00:00,0.0,0.0,13.9,0.0
2025-01-01 18:00:00,0.0,0.0,13.15,0.0
2025-01-01 19:00:00,0.0,0.0,12.63,0.0
2025-01-01 20:00:00,0.0,0.0,12.03,0.0
2025-01-01 21:00:00,0.0,0.0,11.25,0.0
2025-01-01 22:00:00,0.0,0.0,10.24,0.0
2025-01-01 23:00:00,0.0,0.0,9.27,0.0
2025-01-02 00:00:00,0.0,0.0,8.51,0.0
2025-01-02 01:00:00,0.0,0.0,7.86,0.0
2025-01-02 02:00:00,0.0,0.0,7.34,0.0
2025-01-02 03:00:00,0.0,0.0,6.98,0.0
2025-01-02 04:00:00,0.0,0.0,6.75,0.0
2025-01-02 05:00:00,0.0,0.0,6.66,0.0
2025-01-02 06:00:00,5.93,19.06,6.57,6.0
2025-01-02 07:00:00,140.85,461.26,8.76,143.1
2025-01-02 08:00:00,351.85,723.78,11.4,355.0
2025-01-02 09:00:00,534.97,827.46,15.32,537.97
2025-01-02 10:00:00,665.5,908.18,19.21,668.05
2025-01-02 11:00:00,714.85,824.01,21.06,717.05
2025-01-02 12:00:00,708.47,823.52,22.44,710.35
2025-01-02 13:00:00,630.9,782.61,23.3,631.72
2025-01-02 14:00:00,488.08,707.98,23.56,489.02
2025-01-02 15:00:00,296.5,563.98,23.08,297.35
2025-01-02 16:00:00,94.97,232.88,19.45,95.3
2025-01-02 17:00:00,0.0,0.0,16.07,0.0
2025-01-02 18:00:00,0.0,0.0,15.0,0.0
2025-01-02 19:00:00,0.0,0.0,14.2,0.0
2025-01-02 20:00:00,0.0,0.0,13.36,0.0
2025-01-02 21:00:00,0.0,0.0,12.33,0.0
2025-01-02 22:00:00,0.0,0.0,11.21,0.0
2025-01-02 23:00:00,0.0,0.0,10.21,0.0
2025-01-03 00:00:00,0.0,0.0,9.4,0.0
2025-01-03 01:00:00,0.0,0.0,8.78,0.0
2025-01-03 02:00:00,0.0,0.0,8.24,0.0
2025-01-03 03:00:00,0.0,0.0,7.71,0.0
2025-01-03 04:00:00,0.0,0.0,7.21,0.0
2025-01-03 05:00:00,0.0,0.0,6.78,0.0
2025-01-03 06:00:00,5.62,9.92,6.51,5.68
2025-01-03 07:00:00,134.75,381.88,9.18,138.9
2025-01-03 08:00:00,339.3,649.88,11.79,350.65
2025-01-03 09:00:00,516.95,772.24,15.55,535.38
2025-01-03 10:00:00,643.12,836.93,19.05,667.97
2025-01-03 11:00:00,696.38,767.29,21.46,726.6
2025-01-03 12:00:00,687.05,784.14,23.18,721.42
2025-01-03 13:00:00,619.4,703.04,24.29,643.0
2025-01-03 14:00:00,469.65,657.01,24.72,499.58
2025-01-03 15:00:00,289.15,487.68,24.24,306.15
2025-01-03 16:00:00,95.78,225.69,20.21,100.22
2025-01-03 17:00:00,0.0,0.0,17.11,0.0
2025-01-03 18:00:00,0.0,0.0,16.16,0.0
2025-01-03 19:00:00,0.0,0.0,15.4,0.0
2025-01-03 20:00:00,0.0,0.0,14.4,0.0
2025-01-03 21:00:00,0.0,0.0,13.23,0.0
2025-01-03 22:00:00,0.0,0.0,12.21,0.0
2025-01-03 23:00:00,0.0,0.0,11.49,0.0
2025-01-04 00:00:00,0.0,0.0,10.76,0.0
2025-01-04 01:00:00,0.0,0.0,10.08,0.0
2025-01-04 02:00:00,0.0,0.0,9.61,0.0
2025-01-04 03:00:00,0.0,0.0,9.21,0.0
2025-01-04 04:00:00,0.0,0.0,8.81,0.0
2025-01-04 05:00:00,0.0,0.0,8.51,0.0
2025-01-04 06:00:00,5.47,7.27,8.31,5.47
2025-01-04 07:00:00,136.02,383.94,9.84,136.55
2025-01-04 08:00:00,347.77,655.92,12.24,348.62
2025-01-04 09:00:00,533.67,788.19,15.35,534.47
2025-01-04 10:00:00,666.4,848.24,18.21,667.03
2025-01-04 11:00:00,732.17,880.09,20.94,732.62
2025-01-04 12:00:00,727.2,873.86,23.15,727.53
2025-01-04 13:00:00,648.88,827.78,24.82,649.47
2025-01-04 14:00:00,503.48,745.09,25.74,504.33
