timestamp_utc,WS10M,WS50M,WD50M,T2M
2025-01-01 00:00:00,5.9,7.7,359.7,15.7
2025-01-01 01:00:00,6.27,8.22,1.1,15.51
2025-01-01 02:00:00,6.53,8.58,1.2,15.32
2025-01-01 03:00:00,6.62,8.71,3.8,15.08
2025-01-01 04:00:00,6.54,8.59,7.2,14.82
2025-01-01 05:00:00,6.26,8.21,8.8,14.57
2025-01-01 06:00:00,5.94,7.73,10.6,14.38
2025-01-01 07:00:00,5.61,7.04,12.8,15.34
2025-01-01 08:00:00,5.7,6.28,14.5,16.5
2025-01-01 09:00:00,5.32,5.73,8.8,17.33
2025-01-01 10:00:00,5.18,5.56,0.7,18.16
2025-01-01 11:00:00,5.24,5.59,353.2,18.91
2025-01-01 12:00:00,5.81,6.2,342.4,19.54
2025-01-01 13:00:00,6.5,7.01,338.6,20.0
2025-01-01 14:00:00,6.97,7.63,338.5,20.25
2025-01-01 15:00:00,7.28,8.13,339.2,20.26
2025-01-01 16:00:00,7.09,8.71,340.2,19.55
2025-01-01 17:00:00,7.27,9.43,343.1,18.38
2025-01-01 18:00:00,7.56,9.72,351.9,17.86
2025-01-01 19:00:00,7.43,9.6,5.6,17.26
2025-01-01 20:00:00,7.2,9.43,23.0,16.72
2025-01-01 21:00:00,6.64,8.69,31.8,16.15
2025-01-01 22:00:00,5.96,7.62,34.6,15.53
2025-01-01 23:00:00,5.29,6.59,37.4,15.02
2025-01-02 00:00:00,4.59,5.58,40.5,14.69
2025-01-02 01:00:00,3.92,4.65,45.9,14.61
2025-01-02 02:00:00,3.18,3.68,49.9,14.71
2025-01-02 03:00:00,2.43,2.76,54.8,14.92
2025-01-02 04:00:00,1.72,1.93,69.7,15.1
2025-01-02 05:00:00,0.87,0.93,75.7,15.2
2025-01-02 06:00:00,0.21,0.15,11.3,15.13
2025-01-02 07:00:00,0.52,0.7,262.6,15.5
2025-01-02 08:00:00,1.25,1.37,264.5,16.76
2025-01-02 09:00:00,2.02,2.12,261.0,17.46
2025-01-02 10:00:00,2.49,2.56,268.4,18.2
2025-01-02 11:00:00,2.31,2.36,280.7,18.89
2025-01-02 12:00:00,1.97,2.01,292.2,19.46
2025-01-02 13:00:00,1.93,1.96,307.3,19.9
2025-01-02 14:00:00,2.22,2.27,322.3,20.09
2025-01-02 15:00:00,2.69,2.82,333.3,19.9
2025-01-02 16:00:00,2.84,3.45,340.2,18.74
2025-01-02 17:00:00,3.28,3.93,339.8,17.64
2025-01-02 18:00:00,3.52,4.19,333.4,17.5
2025-01-02 19:00:00,3.51,4.16,329.1,17.46
2025-01-02 20:00:00,3.15,3.73,329.7,17.42
2025-01-02 21:00:00,2.61,3.07,330.3,17.32
2025-01-02 22:00:00,2.04,2.41,327.7,17.18
2025-01-02 23:00:00,1.61,1.91,315.8,17.07
2025-01-03 00:00:00,1.24,1.44,298.7,16.95
2025-01-03 01:00:00,1.01,1.12,269.5,16.86
2025-01-03 02:00:00,1.03,1.13,244.8,16.71
2025-01-03 03:00:00,0.93,1.01,229.4,16.61
2025-01-03 04:00:00,0.81,0.95,194.6,16.58
2025-01-03 05:00:00,0.85,1.04,170.6,16.69
2025-01-03 06:00:00,0.73,0.91,163.4,16.79
2025-01-03 07:00:00,0.54,0.67,171.4,17.17
2025-01-03 08:00:00,0.5,0.58,194.0,17.85
2025-01-03 09:00:00,0.56,0.7,192.4,18.71
2025-01-03 10:00:00,0.35,0.26,272.2,19.53
2025-01-03 11:00:00,1.32,1.24,325.2,20.08
2025-01-03 12:00:00,2.05,2.04,331.3,20.35
2025-01-03 13:00:00,2.8,2.87,340.4,20.33
2025-01-03 14:00:00,3.43,3.58,345.8,20.23
2025-01-03 15:00:00,3.98,4.27,345.8,19.9
2025-01-03 16:00:00,3.9,4.85,345.3,19.03
2025-01-03 17:00:00,4.32,5.51,343.8,18.33
2025-01-03 18:00:00,4.62,5.89,342.1,18.2
2025-01-03 19:00:00,4.49,5.66,338.6,17.97
2025-01-03 20:00:00,4.18,5.17,332.8,17.59
2025-01-03 21:00:00,3.65,4.48,327.5,17.39
2025-01-03 22:00:00,3.06,3.76,316.9,17.35
2025-01-03 23:00:00,2.97,3.59,298.3,17.1
2025-01-04 00:00:00,3.13,3.7,283.9,16.7
